Date;Stocks;Return
1928.1;7,842.73;0.029556631
1928.11;8,398.36;0.070846504
1928.12;8,506.39;0.012863226
1929.01;9,161.06;0.076962143
1929.02;9,235.68;0.008145346
1929.03;9,480.84;0.026544878
1929.04;9,508.50;0.002917463
1929.05;9,622.70;0.012010307
1929.06;9,777.38;0.016074491
1929.07;10,553.78;0.079407776
1929.08;11,182.82;0.059603289
1929.09;11,657.75;0.04246961
1929.1;10,454.42;-0.103221462
1929.11;7,716.63;-0.261878708
1929.12;8,101.23;0.04984041
1930.01;8,297.45;0.024221013
1930.02;8,900.23;0.072646415
1930.03;9,321.97;0.047385292
1930.04;9,886.92;0.060604143
1930.05;9,383.38;-0.050929915
1930.06;8,517.09;-0.092321743
1930.07;8,468.03;-0.005760183
1930.08;8,443.05;-0.002949919
1930.09;8,421.04;-0.002606878
1930.1;7,339.28;-0.128459193
1930.11;6,881.98;-0.062308564
1930.12;6,576.48;-0.044391294
1931.01;6,895.58;0.048521397
1931.02;7,551.29;0.095091348
1931.03;7,780.12;0.030303432
1931.04;7,118.85;-0.084994833
1931.05;6,550.79;-0.079796596
1931.06;6,459.22;-0.013978467
1931.07;6,707.86;0.038493812
1931.08;6,540.64;-0.024928964
1931.09;5,637.66;-0.138056826
1931.1;4,951.33;-0.121740226
1931.11;5,121.25;0.034318052
1931.12;4,222.50;-0.175494264
1932.01;4,273.34;0.012040261
1932.02;4,330.76;0.013436797
1932.03;4,410.28;0.018361673
1932.04;3,409.18;-0.226992391
1932.05;3,066.36;-0.100557905
1932.06;2,704.90;-0.117879179
1932.07;2,870.92;0.0613775
1932.08;4,376.12;0.524291865
1932.09;4,864.49;0.111598859
1932.1;4,252.01;-0.125908369
1932.11;4,268.51;0.003880518
1932.12;4,186.20;-0.019283075
1933.01;4,445.11;0.061848454
1933.02;4,006.18;-0.098744463
1933.03;4,051.16;0.011227653
1933.04;4,506.35;0.11236041
1933.05;5,827.24;0.29311749
1933.06;6,797.61;0.166523088
1933.07;7,147.41;0.051459263
1933.08;6,763.76;-0.053676786
1933.09;6,730.74;-0.0048819
1933.1;6,099.34;-0.093808407
1933.11;6,269.92;0.02796696
1933.12;6,415.23;0.023175734
1934.01;6,805.64;0.060856742
1934.02;7,277.91;0.069393914
1934.03;6,928.72;-0.047979434
1934.04;7,068.68;0.020199979
1934.05;6,374.12;-0.098258798
1934.06;6,434.31;0.009442872
1934.07;6,154.12;-0.043546239
1934.08;5,937.86;-0.035140686
1934.09;5,733.07;-0.034488856
1934.1;5,845.37;0.019588109
1934.11;6,033.09;0.032114306
1934.12;6,142.53;0.018139958
1935.01;6,076.71;-0.010715454
1935.02;5,874.38;-0.033295978
1935.03;5,526.04;-0.059298173
1935.04;5,921.23;0.07151414
1935.05;6,410.49;0.082628103
1935.06;6,726.61;0.049312923
1935.07;7,103.26;0.05599403
1935.08;7,607.94;0.071049068
1935.09;7,793.06;0.024332474
1935.1;8,026.32;0.02993176
1935.11;8,742.47;0.089225199
1935.12;8,768.72;0.003002584
1936.01;9,279.78;0.058282167
1936.02;9,840.10;0.060380742
1936.03;10,151.49;0.031645004
1936.04;10,194.57;0.004243712
1936.05;9,683.77;-0.050105105
1936.06;10,054.25;0.038257827
1936.07;10,605.37;0.054814631
1936.08;10,772.67;0.015775027
1936.09;10,929.36;0.014545141
1936.1;11,538.06;0.055694021
1936.11;11,898.03;0.031198486
1936.12;11,733.54;-0.013824978
1937.01;12,053.81;0.027295258
1937.02;12,452.40;0.033067553
1937.03;12,393.72;-0.004712345
1937.04;11,616.53;-0.062708372
1937.05;11,066.22;-0.047373011
1937.06;10,698.48;-0.033230859
1937.07;11,302.70;0.056477182
1937.08;11,463.76;0.014249693
1937.09;9,816.99;-0.143650076
1937.1;8,433.60;-0.140917939
1937.11;7,790.45;-0.076260434
1937.12;7,765.17;-0.003244999
1938.01;8,129.01;0.046855381
1938.02;8,038.67;-0.011113284
1938.03;7,554.46;-0.060235089
1938.04;7,242.16;-0.041339818
1938.05;7,406.19;0.02264932
1938.06;7,622.64;0.029225553
1938.07;9,182.59;0.204646946
1938.08;9,278.03;0.010393582
1938.09;8,897.42;-0.041022717
1938.1;9,998.79;0.123785322
1938.11;10,042.17;0.004338525
1938.12;9,782.86;-0.025822108
1939.01;9,669.36;-0.011601924
1939.02;9,694.56;0.00260617
1939.03;9,720.62;0.002688105
1939.04;8,592.75;-0.116028607
1939.05;8,944.94;0.040986878
1939.06;9,139.43;0.021743019
1939.07;9,399.30;0.02843394
1939.08;9,299.63;-0.010603981
1939.09;10,108.69;0.08699916
1939.1;10,323.07;0.021207496
1939.11;10,179.03;-0.013953214
1939.12;9,979.52;-0.019600099
1940.01;10,036.64;0.005723722
1940.02;9,942.45;-0.009384615
1940.03;9,928.21;-0.001432243
1940.04;10,069.62;0.014243252
1940.05;8,726.69;-0.133364516
1940.06;7,963.89;-0.087410003
1940.07;8,331.58;0.046169648
1940.08;8,552.82;0.026554387
1940.09;8,960.20;0.047631074
1940.1;9,091.55;0.014659271
1940.11;9,350.69;0.028503391
